phrase,category,cluster
outdoor use,Arts_Crafts_and_Sewing,1
craft supplies,Arts_Crafts_and_Sewing,1
craft item,Arts_Crafts_and_Sewing,1
craft project,Arts_Crafts_and_Sewing,1
craft work,Arts_Crafts_and_Sewing,1
crafts projects,Arts_Crafts_and_Sewing,1
variety of projects,Arts_Crafts_and_Sewing,1
art project,Arts_Crafts_and_Sewing,1
different projects,Arts_Crafts_and_Sewing,1
mixed media projects,Arts_Crafts_and_Sewing,1
craft fair,Arts_Crafts_and_Sewing,1
craft room,Arts_Crafts_and_Sewing,1
craft needs,Arts_Crafts_and_Sewing,1
craft stores,Arts_Crafts_and_Sewing,1
local craft store,Arts_Crafts_and_Sewing,1
mini album,Arts_Crafts_and_Sewing,1
outdoor cushions,Arts_Crafts_and_Sewing,1
homemade cards,Arts_Crafts_and_Sewing,1
project look,Arts_Crafts_and_Sewing,1
large project,Arts_Crafts_and_Sewing,1
small projects,Arts_Crafts_and_Sewing,1
fun project,Arts_Crafts_and_Sewing,1
quilting project,Arts_Crafts_and_Sewing,1
next project,Arts_Crafts_and_Sewing,1
cross stitch kits,Arts_Crafts_and_Sewing,1
easy install,Automotive,1
easy to install,Automotive,1
simple install,Automotive,1
problem installing,Automotive,1
professional install,Automotive,1
center console,Automotive,1
minute install,Automotive,1
min install,Automotive,1
quick installation,Automotive,1
install instructions,Automotive,1
car windows,Automotive,1
tinted windows,Automotive,1
mechanic install,Automotive,1
easy instructions,Automotive,1
backup lights,Automotive,1
ford explorer,Automotive,1
mitsubishi eclipse,Automotive,1
same as oem,Automotive,1
super easy,Automotive,1
long time,Automotive,1
easy access,Automotive,1
rubber boot,Automotive,1
super product,Automotive,1
super fast,Automotive,1
much cooler,Automotive,1
expiration date,Grocery_and_Gourmet_Food,1
expired date,Grocery_and_Gourmet_Food,1
use by date,Grocery_and_Gourmet_Food,1
freshness date,Grocery_and_Gourmet_Food,1
exp date,Grocery_and_Gourmet_Food,1
only complaint,Grocery_and_Gourmet_Food,1
only drawback,Grocery_and_Gourmet_Food,1
fast shipment,Grocery_and_Gourmet_Food,1
quick shipment,Grocery_and_Gourmet_Food,1
delivery date,Grocery_and_Gourmet_Food,1
due date,Grocery_and_Gourmet_Food,1
different seller,Grocery_and_Gourmet_Food,1
buyer beware,Grocery_and_Gourmet_Food,1
sell by date,Grocery_and_Gourmet_Food,1
repeat buyer,Grocery_and_Gourmet_Food,1
return policy,Grocery_and_Gourmet_Food,1
nursing home,Grocery_and_Gourmet_Food,1
only option,Grocery_and_Gourmet_Food,1
return customer,Grocery_and_Gourmet_Food,1
money spent,Grocery_and_Gourmet_Food,1
only product,Grocery_and_Gourmet_Food,1
only place,Grocery_and_Gourmet_Food,1
extra money,Grocery_and_Gourmet_Food,1
pay attention,Grocery_and_Gourmet_Food,1
amount of money,Grocery_and_Gourmet_Food,1
mouse pad,Office_Products,1
wrist pad,Office_Products,1
desk pad,Office_Products,1
mickey mouse,Office_Products,1
laser mouse,Office_Products,1
wireless mouse,Office_Products,1
optical mouse,Office_Products,1
note pad,Office_Products,1
legal pad,Office_Products,1
memo pad,Office_Products,1
pad of paper,Office_Products,1
dry erase markers,Office_Products,1
expo markers,Office_Products,1
hole punch,Office_Products,1
stamp pad,Office_Products,1
ink pad,Office_Products,1
push pins,Office_Products,1
black marker,Office_Products,1
permanent marker,Office_Products,1
chalk markers,Office_Products,1
belt loop,Office_Products,1
sticky residue,Office_Products,1
dry erase board,Office_Products,1
belt clip,Office_Products,1
bottle opener,Office_Products,1
heavy duty,Patio_Lawn_and_Garden,1
big deal,Patio_Lawn_and_Garden,1
big lots,Patio_Lawn_and_Garden,1
phone number,Patio_Lawn_and_Garden,1
plenty of room,Patio_Lawn_and_Garden,1
much room,Patio_Lawn_and_Garden,1
enough room,Patio_Lawn_and_Garden,1
hundreds of dollars,Patio_Lawn_and_Garden,1
direct replacement,Patio_Lawn_and_Garden,1
big problem,Patio_Lawn_and_Garden,1
large area,Patio_Lawn_and_Garden,1
heavy material,Patio_Lawn_and_Garden,1
big plus,Patio_Lawn_and_Garden,1
big difference,Patio_Lawn_and_Garden,1
heavy use,Patio_Lawn_and_Garden,1
big box stores,Patio_Lawn_and_Garden,1
big hit,Patio_Lawn_and_Garden,1
huge box,Patio_Lawn_and_Garden,1
heavy snow,Patio_Lawn_and_Garden,1
big mess,Patio_Lawn_and_Garden,1
new battery,Patio_Lawn_and_Garden,1
big disappointment,Patio_Lawn_and_Garden,1
big mistake,Patio_Lawn_and_Garden,1
big fan,Patio_Lawn_and_Garden,1
arrival date,Patio_Lawn_and_Garden,1
assorted colors,Arts_Crafts_and_Sewing,1
selection of colors,Arts_Crafts_and_Sewing,1
variety of colors,Arts_Crafts_and_Sewing,1
different colours,Arts_Crafts_and_Sewing,1
different colors,Arts_Crafts_and_Sewing,1
various colors,Arts_Crafts_and_Sewing,1
solid colors,Arts_Crafts_and_Sewing,1
darker colors,Arts_Crafts_and_Sewing,1
vibrant colors,Arts_Crafts_and_Sewing,1
different fabrics,Arts_Crafts_and_Sewing,1
skein of yarn,Arts_Crafts_and_Sewing,1
tee shirt,Arts_Crafts_and_Sewing,1
small beads,Arts_Crafts_and_Sewing,1
pony beads,Arts_Crafts_and_Sewing,1
clear beads,Arts_Crafts_and_Sewing,1
large beads,Arts_Crafts_and_Sewing,1
enough yarn,Arts_Crafts_and_Sewing,1
yellow color,Arts_Crafts_and_Sewing,1
colored pencils,Arts_Crafts_and_Sewing,1
same colors,Arts_Crafts_and_Sewing,1
new colors,Arts_Crafts_and_Sewing,1
own colors,Arts_Crafts_and_Sewing,1
type of yarn,Arts_Crafts_and_Sewing,1
first wear,Arts_Crafts_and_Sewing,1
cotton yarn,Arts_Crafts_and_Sewing,1
exact fit,Automotive,2
fit well,Automotive,2
proper fit,Automotive,2
fit fine,Automotive,3
fit right,Automotive,2
fit properly,Automotive,2
fit as described,Automotive,2
custom fit,Automotive,2
exact oem fit,Automotive,2
fit like factory,Automotive,2
timely manner,Automotive,1
different brand,Automotive,1
exact replacement,Automotive,1
factory replacement,Automotive,1
original pump,Automotive,4
timely matter,Automotive,1
simple design,Automotive,1
correct item,Automotive,1
correct product,Automotive,1
original review,Automotive,4
poor fit,Automotive,2
correct parts,Automotive,1
factory specs,Automotive,1
exact replica,Automotive,1
product fit,Automotive,2
dark chocolate,Grocery_and_Gourmet_Food,1
milk chocolate,Grocery_and_Gourmet_Food,1
double chocolate,Grocery_and_Gourmet_Food,1
yummy candy,Grocery_and_Gourmet_Food,1
candy bar,Grocery_and_Gourmet_Food,1
hard candy,Grocery_and_Gourmet_Food,1
fresh candy,Grocery_and_Gourmet_Food,1
cup of tea,Grocery_and_Gourmet_Food,1
cup of coffee,Grocery_and_Gourmet_Food,1
cup of water,Grocery_and_Gourmet_Food,1
peanut butter cups,Grocery_and_Gourmet_Food,1
natural peanut butter,Grocery_and_Gourmet_Food,1
like chocolate,Grocery_and_Gourmet_Food,1
chocolate flavor,Grocery_and_Gourmet_Food,1
raw honey,Grocery_and_Gourmet_Food,1
chocolate syrup,Grocery_and_Gourmet_Food,1
much chocolate,Grocery_and_Gourmet_Food,1
subtle flavor,Grocery_and_Gourmet_Food,1
first cup,Grocery_and_Gourmet_Food,1
chocolate craving,Grocery_and_Gourmet_Food,1
type of candy,Grocery_and_Gourmet_Food,1
little honey,Grocery_and_Gourmet_Food,1
peanut brittle,Grocery_and_Gourmet_Food,1
passion fruit,Grocery_and_Gourmet_Food,1
milk supply,Grocery_and_Gourmet_Food,1
key chain,Office_Products,1
new home,Office_Products,1
new house,Office_Products,1
retail stores,Office_Products,1
house key,Office_Products,1
home business,Office_Products,1
small business,Office_Products,1
current month,Office_Products,1
same company,Office_Products,1
new product,Office_Products,1
new model,Office_Products,1
new unit,Office_Products,1
new item,Office_Products,1
near future,Office_Products,1
new set,Office_Products,1
new job,Office_Products,1
current year,Office_Products,1
new calendar,Office_Products,1
personal use,Office_Products,1
expensive brands,Office_Products,1
new battery,Office_Products,1
business days,Office_Products,1
new year,Office_Products,1
personal preference,Office_Products,1
personal touch,Office_Products,1
exact fit,Patio_Lawn_and_Garden,2
fit well,Patio_Lawn_and_Garden,2
proper fit,Patio_Lawn_and_Garden,2
fit right,Patio_Lawn_and_Garden,2
fit as described,Patio_Lawn_and_Garden,2
product fit,Patio_Lawn_and_Garden,2
temperature gauge,Patio_Lawn_and_Garden,1
timely manner,Patio_Lawn_and_Garden,1
timely matter,Patio_Lawn_and_Garden,1
different brand,Patio_Lawn_and_Garden,1
fit fine,Patio_Lawn_and_Garden,3
exact replacement,Patio_Lawn_and_Garden,1
original pump,Patio_Lawn_and_Garden,4
simple design,Patio_Lawn_and_Garden,1
correct item,Patio_Lawn_and_Garden,1
factory replacement,Patio_Lawn_and_Garden,1
original review,Patio_Lawn_and_Garden,4
correct product,Patio_Lawn_and_Garden,1
poor design,Patio_Lawn_and_Garden,1
correct parts,Patio_Lawn_and_Garden,1
original piece,Patio_Lawn_and_Garden,4
original parts,Patio_Lawn_and_Garden,4
exact model,Patio_Lawn_and_Garden,1
original equipment,Patio_Lawn_and_Garden,4
full price,Patio_Lawn_and_Garden,1
card making,Arts_Crafts_and_Sewing,1
card projects,Arts_Crafts_and_Sewing,1
own greeting cards,Arts_Crafts_and_Sewing,1
credit card,Arts_Crafts_and_Sewing,1
gift card,Arts_Crafts_and_Sewing,1
stamp set,Arts_Crafts_and_Sewing,1
set of stamps,Arts_Crafts_and_Sewing,1
business cards,Arts_Crafts_and_Sewing,1
place cards,Arts_Crafts_and_Sewing,1
special gift,Arts_Crafts_and_Sewing,1
free gift,Arts_Crafts_and_Sewing,1
gift for christmas,Arts_Crafts_and_Sewing,1
day gift,Arts_Crafts_and_Sewing,1
shipping box,Arts_Crafts_and_Sewing,1
card stock,Arts_Crafts_and_Sewing,1
small box,Arts_Crafts_and_Sewing,1
safety pin,Arts_Crafts_and_Sewing,1
large stamp,Arts_Crafts_and_Sewing,1
fun stamp,Arts_Crafts_and_Sewing,1
clear stamps,Arts_Crafts_and_Sewing,1
money spent,Arts_Crafts_and_Sewing,1
card front,Arts_Crafts_and_Sewing,1
bought as gift,Arts_Crafts_and_Sewing,1
sticker sheet,Arts_Crafts_and_Sewing,1
much money,Arts_Crafts_and_Sewing,1
easy installation,Automotive,1
ease of installation,Automotive,1
simple installation,Automotive,1
old unit,Automotive,1
whole unit,Automotive,1
stock unit,Automotive,1
super product,Automotive,1
original equipment,Automotive,4
multiple times,Automotive,1
necessary hardware,Automotive,1
new hardware,Automotive,1
super fast,Automotive,1
problems with installation,Automotive,1
issues with installation,Automotive,1
cooling system,Automotive,1
instrument cluster,Automotive,1
product as described,Automotive,1
exhaust system,Automotive,1
professional installation,Automotive,1
super easy,Automotive,1
installation process,Automotive,1
easy application,Automotive,1
wiring diagram,Automotive,1
quick delivery,Automotive,1
car drives,Automotive,1
olive oil,Grocery_and_Gourmet_Food,1
sesame oil,Grocery_and_Gourmet_Food,1
truffle oil,Grocery_and_Gourmet_Food,1
palm oil,Grocery_and_Gourmet_Food,1
coconut oil,Grocery_and_Gourmet_Food,1
peanut oil,Grocery_and_Gourmet_Food,1
canola oil,Grocery_and_Gourmet_Food,1
garlic salt,Grocery_and_Gourmet_Food,1
sea salt,Grocery_and_Gourmet_Food,1
much salt,Grocery_and_Gourmet_Food,1
little salt,Grocery_and_Gourmet_Food,1
hint of salt,Grocery_and_Gourmet_Food,1
balsamic vinegar,Grocery_and_Gourmet_Food,1
apple cider vinegar,Grocery_and_Gourmet_Food,1
dried apricots,Grocery_and_Gourmet_Food,1
dried cranberries,Grocery_and_Gourmet_Food,1
red pepper,Grocery_and_Gourmet_Food,1
lemon pepper,Grocery_and_Gourmet_Food,1
added salt,Grocery_and_Gourmet_Food,1
garlic bread,Grocery_and_Gourmet_Food,1
fresh garlic,Grocery_and_Gourmet_Food,1
green onions,Grocery_and_Gourmet_Food,1
corn flakes,Grocery_and_Gourmet_Food,1
finishing salt,Grocery_and_Gourmet_Food,1
honey mustard,Grocery_and_Gourmet_Food,1
ink cartridges,Office_Products,1
color cartridge,Office_Products,4
yellow cartridge,Office_Products,4
black ink cartridge,Office_Products,4
toner cartridge,Office_Products,4
expensive cartridges,Office_Products,1
old cartridge,Office_Products,4
replacement cartridges,Office_Products,1
refillable cartridges,Office_Products,1
original cartridge,Office_Products,4
original ink,Office_Products,4
remanufactured ink,Office_Products,1
remanufactured cartridges,Office_Products,1
hp cartridges,Office_Products,1
hp ink,Office_Products,1
original hp cartridge,Office_Products,4
ink jet printer,Office_Products,1
color printer,Office_Products,1
xerox phaser,Office_Products,1
color laser printer,Office_Products,1
hp printer,Office_Products,1
color ink,Office_Products,1
pen refills,Office_Products,1
ink roller,Office_Products,1
colored pencils,Office_Products,1
fairy garden,Patio_Lawn_and_Garden,0
vegetable garden,Patio_Lawn_and_Garden,0
herb garden,Patio_Lawn_and_Garden,0
flower garden,Patio_Lawn_and_Garden,0
little garden,Patio_Lawn_and_Garden,0
miniature garden,Patio_Lawn_and_Garden,0
small garden,Patio_Lawn_and_Garden,0
large garden,Patio_Lawn_and_Garden,0
mini garden,Patio_Lawn_and_Garden,0
sunflower seeds,Patio_Lawn_and_Garden,1
fresh seeds,Patio_Lawn_and_Garden,1
green beans,Patio_Lawn_and_Garden,1
fresh herbs,Patio_Lawn_and_Garden,1
garden stakes,Patio_Lawn_and_Garden,0
garden flag,Patio_Lawn_and_Garden,0
palm tree,Patio_Lawn_and_Garden,1
garden gloves,Patio_Lawn_and_Garden,0
big green egg,Patio_Lawn_and_Garden,1
garden stone,Patio_Lawn_and_Garden,0
rock garden,Patio_Lawn_and_Garden,0
garden bed,Patio_Lawn_and_Garden,0
indoor garden,Patio_Lawn_and_Garden,0
front garden,Patio_Lawn_and_Garden,0
garden tractor,Patio_Lawn_and_Garden,0
garden winds,Patio_Lawn_and_Garden,0
christmas cards,Arts_Crafts_and_Sewing,1
halloween cards,Arts_Crafts_and_Sewing,1
holiday cards,Arts_Crafts_and_Sewing,1
greeting cards,Arts_Crafts_and_Sewing,1
xmas gift,Arts_Crafts_and_Sewing,1
birthday gift,Arts_Crafts_and_Sewing,1
gift for christmas,Arts_Crafts_and_Sewing,1
jewelry box,Arts_Crafts_and_Sewing,1
christmas tree,Arts_Crafts_and_Sewing,1
stamp pad,Arts_Crafts_and_Sewing,1
baby gift,Arts_Crafts_and_Sewing,1
homemade cards,Arts_Crafts_and_Sewing,1
place cards,Arts_Crafts_and_Sewing,1
pin cushion,Arts_Crafts_and_Sewing,1
dollar tree,Arts_Crafts_and_Sewing,1
shaker cards,Arts_Crafts_and_Sewing,1
gift tags,Arts_Crafts_and_Sewing,1
fun stamp,Arts_Crafts_and_Sewing,1
credit card,Arts_Crafts_and_Sewing,1
gift wrapping,Arts_Crafts_and_Sewing,1
wooden box,Arts_Crafts_and_Sewing,1
gift boxes,Arts_Crafts_and_Sewing,1
card making,Arts_Crafts_and_Sewing,1
lovely cards,Arts_Crafts_and_Sewing,1
sticker sheet,Arts_Crafts_and_Sewing,1
heavy duty,Automotive,1
super duty,Automotive,1
big deal,Automotive,1
phone number,Automotive,1
plenty of room,Automotive,1
enough room,Automotive,1
hundreds of dollars,Automotive,1
direct replacement,Automotive,1
big problem,Automotive,1
big issue,Automotive,1
phone case,Automotive,1
parking lot,Automotive,1
big block,Automotive,1
big bucks,Automotive,1
big help,Automotive,1
big plus,Automotive,1
big difference,Automotive,1
big hit,Automotive,1
big box,Automotive,1
new battery,Automotive,1
dead battery,Automotive,1
huge improvement,Automotive,1
big mistake,Automotive,1
big fan,Automotive,1
direct fit replacement,Automotive,2
orange flavor,Grocery_and_Gourmet_Food,1
coconut flavor,Grocery_and_Gourmet_Food,1
fresh flavor,Grocery_and_Gourmet_Food,1
rich flavor,Grocery_and_Gourmet_Food,1
miso soup,Grocery_and_Gourmet_Food,1
chicken noodle soup,Grocery_and_Gourmet_Food,1
steak sauce,Grocery_and_Gourmet_Food,1
bbq sauce,Grocery_and_Gourmet_Food,1
condensed milk,Grocery_and_Gourmet_Food,1
coconut milk,Grocery_and_Gourmet_Food,1
peanut butter,Grocery_and_Gourmet_Food,1
honey mustard,Grocery_and_Gourmet_Food,1
yum yum,Grocery_and_Gourmet_Food,1
spicy food,Grocery_and_Gourmet_Food,1
egg salad,Grocery_and_Gourmet_Food,1
soy sauce,Grocery_and_Gourmet_Food,1
chocolate syrup,Grocery_and_Gourmet_Food,1
yummy candy,Grocery_and_Gourmet_Food,1
stir fries,Grocery_and_Gourmet_Food,1
milk chocolate,Grocery_and_Gourmet_Food,1
tomato sauce,Grocery_and_Gourmet_Food,1
fresh candy,Grocery_and_Gourmet_Food,1
balsamic vinegar,Grocery_and_Gourmet_Food,1
frozen pizza,Grocery_and_Gourmet_Food,1
salad dressing,Grocery_and_Gourmet_Food,1
heavy duty,Office_Products,1
big deal,Office_Products,1
large quantity,Office_Products,1
huge savings,Office_Products,1
phone number,Office_Products,1
plenty of room,Office_Products,1
hundreds of dollars,Office_Products,1
large calendar,Office_Products,1
direct replacement,Office_Products,1
big problem,Office_Products,1
phone case,Office_Products,1
much room,Office_Products,1
enough room,Office_Products,1
little room,Office_Products,1
last minute,Office_Products,1
big help,Office_Products,1
phone line,Office_Products,1
big plus,Office_Products,1
big difference,Office_Products,1
heavy use,Office_Products,1
big box stores,Office_Products,1
big hit,Office_Products,1
large box,Office_Products,1
phone call,Office_Products,1
big mess,Office_Products,1
exact replacement,Patio_Lawn_and_Garden,1
identical replacement,Patio_Lawn_and_Garden,1
exact oem replacement,Patio_Lawn_and_Garden,1
correct item,Patio_Lawn_and_Garden,1
correct product,Patio_Lawn_and_Garden,1
temperature gauge,Patio_Lawn_and_Garden,1
quick delivery,Patio_Lawn_and_Garden,1
fast delivery,Patio_Lawn_and_Garden,1
reasonable cost,Patio_Lawn_and_Garden,1
correct parts,Patio_Lawn_and_Garden,1
factory replacement,Patio_Lawn_and_Garden,1
timely manner,Patio_Lawn_and_Garden,1
timely matter,Patio_Lawn_and_Garden,1
exact fit,Patio_Lawn_and_Garden,2
extra cost,Patio_Lawn_and_Garden,1
speed of delivery,Patio_Lawn_and_Garden,1
delivery time,Patio_Lawn_and_Garden,1
shipping cost,Patio_Lawn_and_Garden,1
super fast shipping,Patio_Lawn_and_Garden,1
accurate description,Patio_Lawn_and_Garden,1
expected delivery date,Patio_Lawn_and_Garden,1
exact model,Patio_Lawn_and_Garden,1
correct size,Patio_Lawn_and_Garden,1
replacement parts,Patio_Lawn_and_Garden,1
only option,Patio_Lawn_and_Garden,1
jewelry projects,Arts_Crafts_and_Sewing,1
jewelry making,Arts_Crafts_and_Sewing,1
jewelry creations,Arts_Crafts_and_Sewing,1
jewelry look,Arts_Crafts_and_Sewing,1
earring set,Arts_Crafts_and_Sewing,1
pair of earrings,Arts_Crafts_and_Sewing,1
friendship bracelets,Arts_Crafts_and_Sewing,1
piece of jewelry,Arts_Crafts_and_Sewing,1
pearl necklace,Arts_Crafts_and_Sewing,1
living locket,Arts_Crafts_and_Sewing,1
jewelry piece,Arts_Crafts_and_Sewing,1
wrap bracelets,Arts_Crafts_and_Sewing,1
charm bracelet,Arts_Crafts_and_Sewing,1
pandora bracelet,Arts_Crafts_and_Sewing,1
bead work,Arts_Crafts_and_Sewing,1
jewelry store,Arts_Crafts_and_Sewing,1
jewelry box,Arts_Crafts_and_Sewing,1
small charms,Arts_Crafts_and_Sewing,1
little charms,Arts_Crafts_and_Sewing,1
candle making,Arts_Crafts_and_Sewing,1
jewelry designs,Arts_Crafts_and_Sewing,1
swarovski crystals,Arts_Crafts_and_Sewing,1
money spent,Arts_Crafts_and_Sewing,1
bead caps,Arts_Crafts_and_Sewing,1
much money,Arts_Crafts_and_Sewing,1
oem part,Automotive,1
oem replacement part,Automotive,1
oem piece,Automotive,1
oem product,Automotive,1
oem unit,Automotive,1
like oem,Automotive,1
same as oem,Automotive,1
oem version,Automotive,1
oem ones,Automotive,1
part store,Automotive,1
honda pilot,Automotive,1
oem price,Automotive,1
car part,Automotive,1
travel trailer,Automotive,1
oem fit,Automotive,2
oem filter,Automotive,1
oem mirror,Automotive,1
oem bulbs,Automotive,1
right part,Automotive,1
oem specs,Automotive,1
oem hose,Automotive,1
hard part,Automotive,1
different part,Automotive,1
clear background,Automotive,1
oem sensor,Automotive,1
green tea,Grocery_and_Gourmet_Food,1
ginger tea,Grocery_and_Gourmet_Food,1
milk tea,Grocery_and_Gourmet_Food,1
iced tea,Grocery_and_Gourmet_Food,1
ice tea,Grocery_and_Gourmet_Food,1
mint tea,Grocery_and_Gourmet_Food,1
loose leaf tea,Grocery_and_Gourmet_Food,1
herbal tea,Grocery_and_Gourmet_Food,1
chamomile tea,Grocery_and_Gourmet_Food,1
white tea,Grocery_and_Gourmet_Food,1
english breakfast tea,Grocery_and_Gourmet_Food,1
tasty tea,Grocery_and_Gourmet_Food,1
delicious tea,Grocery_and_Gourmet_Food,1
sweet tea,Grocery_and_Gourmet_Food,1
cup of tea,Grocery_and_Gourmet_Food,1
organic ingredients,Grocery_and_Gourmet_Food,1
flavored coffees,Grocery_and_Gourmet_Food,1
green apple,Grocery_and_Gourmet_Food,1
tea leaves,Grocery_and_Gourmet_Food,1
green beans,Grocery_and_Gourmet_Food,1
tea party,Grocery_and_Gourmet_Food,1
sunflower seeds,Grocery_and_Gourmet_Food,1
fresh tasting,Grocery_and_Gourmet_Food,1
fresh candy,Grocery_and_Gourmet_Food,1
green onions,Grocery_and_Gourmet_Food,1
business cards,Office_Products,1
place cards,Office_Products,1
time cards,Office_Products,1
note cards,Office_Products,1
business card holder,Office_Products,1
card case,Office_Products,1
credit cards,Office_Products,1
own cards,Office_Products,1
box of cards,Office_Products,1
set of cards,Office_Products,1
date stamp,Office_Products,1
credit card machine,Office_Products,1
sign holder,Office_Products,1
greeting cards,Office_Products,1
day card,Office_Products,1
card stock,Office_Products,1
new stamp,Office_Products,1
house key,Office_Products,1
bulletin board,Office_Products,1
big box,Office_Products,1
storage box,Office_Products,1
sturdy box,Office_Products,1
lead holder,Office_Products,1
unique gift,Office_Products,1
special gift,Office_Products,1
front porch,Patio_Lawn_and_Garden,1
back porch,Patio_Lawn_and_Garden,1
front yard,Patio_Lawn_and_Garden,1
front garden,Patio_Lawn_and_Garden,0
porch swing,Patio_Lawn_and_Garden,1
halloween decorations,Patio_Lawn_and_Garden,1
covered porch,Patio_Lawn_and_Garden,1
umbrella base,Patio_Lawn_and_Garden,1
christmas decorations,Patio_Lawn_and_Garden,1
down side,Patio_Lawn_and_Garden,1
left side,Patio_Lawn_and_Garden,1
back side,Patio_Lawn_and_Garden,1
kitchen floor,Patio_Lawn_and_Garden,1
local garden center,Patio_Lawn_and_Garden,0
side by side,Patio_Lawn_and_Garden,1
plants from seeds,Patio_Lawn_and_Garden,1
bottom line,Patio_Lawn_and_Garden,1
drop in replacement,Patio_Lawn_and_Garden,1
side burner,Patio_Lawn_and_Garden,1
little shorter,Patio_Lawn_and_Garden,1
extra parts,Patio_Lawn_and_Garden,1
side panels,Patio_Lawn_and_Garden,1
large area,Patio_Lawn_and_Garden,1
air plants,Patio_Lawn_and_Garden,1
past summer,Patio_Lawn_and_Garden,1
different sizes,Arts_Crafts_and_Sewing,1
variety of sizes,Arts_Crafts_and_Sewing,1
various sizes,Arts_Crafts_and_Sewing,1
multiple sizes,Arts_Crafts_and_Sewing,1
variety of projects,Arts_Crafts_and_Sewing,1
different projects,Arts_Crafts_and_Sewing,1
variety of ways,Arts_Crafts_and_Sewing,1
different ways,Arts_Crafts_and_Sewing,1
sturdy material,Arts_Crafts_and_Sewing,1
durable material,Arts_Crafts_and_Sewing,1
soft material,Arts_Crafts_and_Sewing,1
strong material,Arts_Crafts_and_Sewing,1
variety of colors,Arts_Crafts_and_Sewing,1
assorted colors,Arts_Crafts_and_Sewing,1
color variety,Arts_Crafts_and_Sewing,1
different colours,Arts_Crafts_and_Sewing,1
different color,Arts_Crafts_and_Sewing,1
different brand,Arts_Crafts_and_Sewing,1
kinds of things,Arts_Crafts_and_Sewing,1
variety pack,Arts_Crafts_and_Sewing,1
thin material,Arts_Crafts_and_Sewing,1
different designs,Arts_Crafts_and_Sewing,1
make sure,Arts_Crafts_and_Sewing,1
different fabrics,Arts_Crafts_and_Sewing,1
heavy material,Arts_Crafts_and_Sewing,1
right part,Automotive,1
